name,address,dcode,tel,time,X,Y
ฟูดแลนด์ สำนักงานใหญ่,2675 ถ.ลาดพร้าว ซ.95 แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพฯ,1045,02-530-0220-22,จันทร์-ศุกร์ : 8.30-18.00 เสาร์ 9.00-16.00,675473.31529022,1523910.89405918
ฟูดแลนด์ สาขาพัฒน์พงศ์,9 ชั้นล่าง ถ.พัฒน์พงษ์ แขวงสุริยวงศ์ เขตบางรัก กรุงเทพฯ,1004,02-234-4558,จันทร์-ศุกร์ : 8.30-18.00 เสาร์ 9.00-16.00 .,665699.889308205,1518368.54712376
ฟูดแลนด์ สาขาหัวหมาก,1851 ถ.สุขุมวิท แขวงหัวหมาก เขตบางกะปิ กรุงเทพฯ,1006,02-314-6763,เปิดบริการ 24 ชั่วโมง,673822.472057725,1520679.49981629
ฟูดแลนด์ สาขาเพชรบุรี,2443 ถ.เพชรบุรีตัดใหม่ แขวงบางกะปิ เขตห้วยขวาง กรุงเทพฯ,1017,02-318-2063,เปิดบริการ 24 ชั่วโมง,672030.800686036,1519956.97578214
ฟูดแลนด์ สาขารามอินทรา,78/5 ม.4 ถ.รามอินทรา แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพฯ,1005,02-521-2560,เปิดบริการ 24 ชั่วโมง,675542.962240547,1532856.19503198
ฟูดแลนด์ สาขาสุขุมวิท ซอย 5,87 อาคารนายเลิศ ชั้นล่าง สุขมวิท 5 ถ.สุขุมวิท คลองเตยเหนือ กรุงเทพฯ,1039,02-254-2247,เปิดบริการ 24 ชั่วโมง,668020.586839414,1519766.86232339
ฟูดแลนด์ สาขาลาดพร้าว,2675 หมู่ 9 ถ.ลาดพร้าว ซ.95 แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพ,1045,02-530-0220-7,เปิดบริการ 24 ชั่วโมง,675466.965157386,1523893.87442644
ฟูดแลนด์ สาขาจรัญสนิทวงศ์,262 ซ.จรัญสนิทวงค์ ถ.จรัญสนิทวงศ์ แขวงบ้านช่างหล่อ เขตบางกอกน้อย กรุงเทพฯฯ,1020,02-411-3333,เปิดบริการ 24 ชั่วโมง,659165.820188975,1521714.70544393
ห้างสรรพสินค้าพาต้า ปิ่นเกล้า สำนักงานใหญ่,125 ถ.สมเด็จพระปิ่นเกล้า แขวงบางยี่ขัน เขตบางพลัด กรุงเทพฯ,1025,02-434-3333,เวลาเปิด / ปิด :10.30-21.30น,660554.138958305,1523117.52254516
ห้างสรรพสินค้ามาบุญครอง,ถนนพญาไท แขวงวังใหม่ เขตปทุมวัน กรุงเทพฯ,1007,-,เวลาเปิด / ปิด :10.00-21.00น,665391.760376844,1520008.77059255
ห้างสรรพสินค้าโตคิว สำนักงานใหญ่,444 อาคารมาบุญครองเซ็นเตอร์ ถ.พญาไท แขวงวังใหม่ เขตปทุมวัน กรุงเทพฯ,1007,02-2217-9023,เวลาเปิด / ปิด :10.30-21.00น,665393.551342697,1519962.20548037
ห้างสรรพสินค้าเซ็นทรัลปิ่นเกล้า,ถ.บรมราชชนนี  แขวงอรุณอัมรินทร์  เขตบางกอกน้อย กรุงเทพฯ,1020,02-8848000-2,จันทร์-ศุกร์ 11:00-21:30 เสาร์ 10:00-22:00 อาทิตย์ 10:00-22:00,659550.653746149,1523591.95590958
ห้างสรรพสินค้า จัสโก้ สาขารัชดาภิเษก,129 ถ.รัชดาภิเษก แขวงดินแดง เขตดินแดง กรุงเทพฯ,1026,02-246-4694-8,จันทร์-ศุกร์ 11:00-21:30 เสาร์ 10:00-22:00 อาทิตย์ 10:00-22:00,669722.156513123,1522645.98592387
ห้างสรรพสินค้า จัสโก้ สาขาสุขุมวิท71,140 ถ.สุขุมวิท71 แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพฯ,1039,02-382-2001-5,เปิดบริการ 24 ชั่วโมง,672681.904849102,1517190.25096772
ห้างสรรพสินค้า จัสโก้ สาขาประชาอุทิศ,11/12 ม.1 ถ.ประชาอุทิศ แขวงทุ่งครุ เขตทุ่งครุ กรุงเทพฯ,1049,02-873-5032-7,เปิดบริการ 24 ชั่วโมง,662381.280970267,1508404.87561496
ห้างสรรพสินค้า จัสโก้ สาขา ศรีนครินทร์,2669 ถ.พัฒนาการ แขวงสวนหลวง เขตสวนหลวง,1034,02-2322-7002-8,เปิดบริการ 24 ชั่วโมง,677589.790466929,1519112.18528763
สยามแม็คโครจำกัด สาขาบางบอน,40/8 ม10 ถ.สายวงแหวนแยกเอกชัย - เพชรเกษม แขวงบางบอน เขตบางบอน กรุงเทพฯ,1050,02-4168080-90,เวลา 06.00 ? 22.00 น.,652065.773349881,1511038.75895113
สยามแม็คโครจำกัด สาขาลาดพร้าว,3498 ถ.ลาดพร้าว แขวงคลองจั่น เขตบางกะปิ กรุงเทพฯ,1006,02-375-2789,ทำการทุกวัน 10:30-19:30 น.,677315.566363106,1522730.97781647
สยามแม็คโครจำกัด สาขาจรัญสนิทวงศ์,521-521/7 ถ.จรัญสนิทวงศ์ แขวงบางขุนศรี เขตบางกอกน้อย กรุงเทพฯ,1020,0-2864-5714,ทำการทุกวัน 10:30-19:30 น.,658953.892942754,1521847.99015408
สยามแม็คโคร สาขาสาธร (นราธิวาส),1 ถ.นราธิวาสราชนครินทร์ แขวงทุ่งวัดดอน เขตสาธร กรุงเทพฯ,1028,02-676-0676,ทำการทุกวัน 10:30-19:30,665988.375562391,1516170.99295754
สยามแม็คโคร สาขาสามเสน,935/11 ถ.สามเสน แขวงถนนนครไชยศรี เขตดุสิต กรุงเทพฯ,1002,02-241-8400,ทำการทุกวัน 10:30-19:30,663540.425555044,1525140.27534879
ห้างสรรพสินค้าเซ็นทรัล สาขาสีลม,306 ถ.สีลม แขวงสุริยวงศ์ เขตบางรัก กรุงเทพฯ,1004,02-101-8124-37,เวลา 10:00 น. และปิดในเวลา 19:00 น,664396.542552667,1517754.70477757
ห้างสรรพสินค้า เซ็นทรัลชิดลม,ถ.เพลินจิต แขวงลุมพินี เขตปทุมวัน กรุงเทพฯ,1007,02-7937777,เวลาเปิด/ปิด10:00 น.?22:00 น.,666967.312157916,1519996.9845653
ห้างสรรพสินค้า เซ็นทรัลพระราม 3,79/3 ถ.สาธุประดิษฐ์ แขวงช่องนนทรี เขตยานนาวา กรุงเทพฯ,1012,-,เวลาเปิด/ปิด10:00 น.?22:00 น.,666270.723113187,1514819.90998495
ห้างสรรพสินค้าโรบินสัน บางรัก,1522 ถ.เจริญกรุง แขวงบางรัก เขตบางรัก กรุงเทพฯ,1004,-,วันเวลาเปิด-ปิดจันทร์ - พฤหัส 11:00-21:00 น. ศุกร์ 11:00 - 21:30 น. เสาร์ -,663835.116613901,1517233.54397688
ห้างสรรพสินค้าโรบินสัน รัชดา,139 ถ.รัชดาภิเษก แขวงดินแดง เขตดินแดง กรุงเทพฯ,1026,"02-2482626-35,02-2245300-9",จันทร์-ศุกร์ เวลา 10.00 ? 22.00 น.เสาร์-อาทิตย์ และวันหยุดนักขัตฤกษ์ เวลา 1,669962.215380658,1522843.30399841
ห้างสรรพสินค้าโรบินสัน สุขุมวิท,259 ถ.สุขุมวิท แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพฯ,1039,"02-6511533-42,022525121",จันทร์-ศุกร์ เวลา 10.00 ? 22.00 น.เสาร์-อาทิตย์ และวันหยุดนักขัตฤกษ์ เวลา 1,668599.051039226,1519332.17163089
ห้างสรรพสินค้าโรบินสัน บางแค,110/5 หมู่ 9 ถ.เพชรเกษม แขวงบางหว้า เขตภาษีเจริญ กรุงเทพฯ,1022,02-455-0143-45,จันทร์-ศุกร์ เวลา 10.00 ? 22.00 น.เสาร์-อาทิตย์ และวันหยุดนักขัตฤกษ์ เวลา 1,655072.887076946,1516348.30453864
ห้างสรรพสินค้าโรบินสัน ศรีนครินทร์,904 /1 หมู่ 6 ถ.ศรีนครินทร์ แขวงหนองบอน เขตประเวศ กรุงเทพฯ,1032,02-721-8990-9,เปิดบริการทุกวันตั้งแต่เวลา 10.00-19.00 น.,678258.729728474,1514625.54457852
ห้างสรรพสินค้าโรบินสัน แฟชั่นไอแลนด์,5/7 ม. 7 ถ.รามอินทรา แขวงคันนายาว เขตคันนายาว กรุงเทพฯ,1043,02-9475320-62,"เปิดเวลา: จ-ศุกร์ 11:00-21:00, เสาร์-อา 10:00-21:00",681430.960414829,1528944.6540901
ห้างสรรพสินค้าโรบินสัน ลาดหญ้า,99 ถ.ลาดหญ้า แขวงสมเด็จเจ้าพระยา เขตคลองสาน กรุงเทพฯ,1018,"02-4370111,024370104-5",จันทร์-ศุกร์ เวลา 10.00 ? 22.00 น.เสาร์-อาทิตย์ และวันหยุดนักขัตฤกษ์ เวลา 1,661637.654779288,1518034.04015202
ห้างสรรพสินค้าบางลำภู (ประชาราษฎร์2),162/1 ถ.ประชาราษฎร์ สาย 2 แขวงบางซื่อ เขตบางซื่อ กรุงเทพฯ,1029,02-912-7600-6,ทำการทุกวัน 10:00-18:30น.,664751.714569791,1526771.89913981
ห้างสรรพสินค้าบางลำภู,85/1 ถ.ตานี แขวงตลาดยอด เขตพระนคร กรุงเทพฯ,1001,02-2822507-10,วันเวลาเปิด-ปิด 10.00-22.00 น,661992.087979541,1521770.67417674
ห้างสรรพสินค้าเซ็นทรัล สาขาสีลมคอมเพล็กซ์,191 ถ.สีลม แขวงสีลม เขตบางรัก กรุงเทพฯ,1004,02-231 3333,ทุกวัน เวลา : 10.00-22.00 น,665961.064741426,1518205.4808788
ห้างสรรพสินค้าเซ็นทรัล สาขารามอินทรา,109/9 ม.3 ถ.รามอินทรา แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพฯ,1005,02-797 8000,เวลา เปิด-ปิด- จันทร์-ศุกร์ 10:00-21:00- เสาร์-อาทิตย์ และ วันหยุดนักขัตฤกษ,673090.397214178,1534147.13170437
ห้างสรรพสินค้าเซ็นทรัล บางนา,หมู่ 12 ถ.บางนา-ตราด แขวงบางนา เขตบางนา กรุงเทพฯ,1047,02-7255000,จันทร์ - พฤหัส 10:30 - 21:00 น. ศุกร์ 10:30 - 22:00 น. เสาร์ - อาทิตย์ และว,676760.0276296,1511745.34775927
ห้างสรรพสินค้าเซ็นทรัล สาขาลาดพร้าว,1697 ถ.พหลโยธิน แขวงจตุจักร เขตจตุจักร กรุงเทพฯ,1030,02-9371716,ทุกวันเวลา 10.00 น. - 22.00 น.,668632.449566521,1527959.15921263
ห้างสรรพสินค้าเดอะมอลล์ สาขารามคำแหง(2),1988/2 ถ.รามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพฯ,1006,02-318-9190,วันจันทร์ - วันศุกร์ 10.30 น. -21.00 น,674190.106719764,1520697.62360535
ห้างสรรพสินค้าเดอะมอลล์ สาขารามคำแหง (4),1911 ถ.รามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพฯ,1006,-,"เวลาเปิด-ปิดร้าน, วันจันทร์ - วันศุกร์ 10.30 น. -21.00 น",674126.795165433,1521085.11287437
ศูนย์การค้าสยามเซ็นเตอร์,ถ.พระราม 1 แขวงปทุมวัน เขตปทุมวัน กรุงเทพฯ,1007,-,ทุกวันเวลา 10.00 น. - 22.00 น.,665713.562258505,1520193.54379192
ห้างสรรพสินค้าเซ็นทรัลวงศ์สว่าง,888 ถ.พิบูลสงคราม แขวงบางซื่อ เขตบางซื่อ กรุงเทพฯ,1029,-,ทำการทุกวัน 10:00-22:00 .,664297.847436443,1526212.50514354
ห้างวันเดอร์ ดีพาร์ทเม้นสโตร์,24/9 ถ.เพชรเกษม แขวงบางแค เขตบางแค กรุงเทพฯ,1040,24135533,-,653986.568505701,1516290.49200494
ห้างสรรพสินค้า IT Square,ถ.แจ้งวัฒนะ แขวงตลาดบางเขน เขตหลักสี่ กรุงเทพฯ,1041,-,"จ-ศุกร์ 11:00-21:00, เสาร์-อา 10:30-21:00",670840.310124734,1535692.9702176
ห้างสรรพสินค้าจัสโก้,ถ.เอกชัย แขวงบางบอน เขตบางบอน กรุงเทพฯ,1050,-,เปิดบริการทุกวัน 24 ชั่วโมง,654243.815064532,1511883.8568947
ห้างสรรพสินค้าซีคอนสแควร์,ถ.ศรีนครินทร์ แขวงหนองบอน เขตประเวศ กรุงเทพฯ,1032,-,ทำการทุกวัน 10:00-22:00น .,678245.714558323,1514525.14234964
ห้างสรรพสินค้าดีเซมเบอร์,ถ.นวมินทร์ แขวงหัวหมาก เขตบางกะปิ กรุงเทพฯ,1006,-,ทุกวัน จันทร์ ? เสาร์ เวลา 11.00 ? 22.00 น,678206.330368447,1522347.93401609
ห้างฟู๊ดแลนด์ สาขาหลักสี่,333/100 อาคารหลักสี่พลาซ่า ม.4 ถ.แจ้งวัฒนะ แขวงตลาดบางเขน เขตหลักสี่,1041,02-5760601-9,เปิดบริการทุกวัน 24 ชั่วโมง,670902.627829341,1535808.2155939
ห้างฟู๊ดแลนด์ สาขาสุขุมวิท 16,48 อาคารคอมลัมน์ ซ.สุขุมวิท 16 ถ.สุขุมมิตร แขวงคลองเตย เขตคลองเตย กทม.,1033,02-2042177-8,เปิดบริการทุกวัน 24 ชั่วโมง,668704.362457478,1518742.83636818
บิ๊กซี สุขาภิบาล 3,103 ถนนรามคำแหง แขวงมีนบุรี เขตมีนบุรี กรุงเทพฯ,1010,-,ทุกวัน 9.00 - 23.00 น.,686689.064225715,1527213.14739127
คาร์ฟู สุขาภิบาล 3,1245 ถนนรามคำแหง(สุขาภิบาล3)แขวงหัวหมาก เขตบางกะปิ กรุงเทพฯ,1006,-,ทุกวัน 9.00 - 23.00 น.,676613.162125158,1521889.98370639
คาร์ฟู ร่มเกล้า,"42,44 ถ.ร่มเกล้า  แขวงมีนบุรี เขตมีนบุรี กรุงเทพฯ",1010,-,ทุกวัน 9.00 - 23.00 น.,688226.378488722,1526435.0484189
แฟชั่นไอซ์แลนด์,5/7 ม.7 ถ.รามอินทรา แขวงคันนายาว เขตคันนายาว กรุงเทพฯ,1043,"02-9475320,029475369",ทำการทุกวัน 10:00-21:00น .,681421.060170086,1529009.00568092
เกษรพลาซ่า ปทุมวัน,999 ถนนเพลินจิต แขวงลุมพินี ปทุมวัน กรุงเทพฯ,1007,02 656 1149,ทุกวัน 10:00 - 20:00 น,666581.939918301,1520200.80703728
